id,venue_name,venue_type,main_bus,venue_add_one,venue_add_two,venue_pcode,venue_web,venue_phone,venue_email,venue_fb,venue_tw,org_own,mger,mger_email,mger_phone,online_contact_form,follow_up,venue_city,venue_country,notes,std_sign_off,res_sign_off,s_kick_id,latitude,longitude,constituency,wday_opening,wday_closing,wkd_opening,wkd_closing,show_opening,show_closing,variations,promoters,venue_capacity,outdoor_space,type_outdoor_space,Instagram ,PRS Type,PRS Venue cat,Omic,gigmainbiz,MD_pad,NPO,FAC,AIE,MVT,Year Venue Opened ,Year Venue Closed ,LAP_areas ,skdl_id,skdl_description,skdl_imageurl,skdl_latitude,skdl_longitude,skdl_type
,The Vault,,,3-7 Wilbrahan Street,,CH412PZ,,07720897944,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45972,,https://dhzjvxyl79yzn.cloudfront.net/2/45972_2_the-vault_th.jpg,53.3895432,-3.0197824,Nightclub
,TEMPLE NIGHTCLUB ,,,28A Oliver Street East,,CH416HH,,07518950333,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108170,,https://dhzjvxyl79yzn.cloudfront.net/0/108170_0_temple-nightclub-_th.jpg,53.3904939,-3.0199248,Nightclub
,Temple Club Birkenhead ,,,28 Oliver Street East,,CH416HH,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108615,,https://dhzjvxyl79yzn.cloudfront.net/5/108615_1_temple-club-birkenhead-_th.jpg,53.3904939,-3.0199248,Nightclub
,Temple Club ,,,28 Oliver Street East,,CH416HH,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108616,,,53.3904939,-3.0199248,Nightclub
,Club Ikon,,,28 Oliver Street East,,CH416HH,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72417,,,53.3904772,-3.01988,Nightclub
,Club Lqd,,,28 Oliver Street East,,CH416HH,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83490,,,53.3905195,-3.0196499,Nightclub
,HEX,,,3-5 Thomas St,,CH415DD,,01516499966,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3778,,,53.388423,-3.018369,Nightclub
,Birkenhead Town Hall,,,Birkenhead,,CH41,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63729,,,53.3904,-3.0159166,other
,Bloom Building And Coffee,,,"Bloom Building, Abbey Close",,CH415FQ,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111225,,,53.3885965,-3.013686,Nightclub
,Bloom Building,,,3 Abbey Close,,CH415FQ,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93047,,,53.388635,-3.013686,live
,Birkenhead Priory,,,Priory Street,,CH415JH,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88721,,,53.3902653,-3.0120406,Outdoors
,The Priory ,,,Priory Street,,CH415JH,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80341,,https://dhzjvxyl79yzn.cloudfront.net/1/80341_0_the-priory-_th.jpg,53.3896,-3.011054,Outdoors
,The Engineering College,,,Monks Ferry,,CH415LH,,01516661028,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108636,,,53.390567,-3.010108,School/Uni
,Mecca Bingo Birkenhead,,,"5 Europa Centre, Europa Square, Birkenhead",,CH414PF,,01516478860,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41958,,https://dhzjvxyl79yzn.cloudfront.net/8/41958_1_mecca-bingo-birkenhead_th.jpg,53.3917448,-3.0240606,bar
,TBC,,,136 Conway Street,,CH416RN,,07834340998,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5452,,,53.393011,-3.02415,Other
,The Venue  Marbella Mambo,,,30 Conway Street,,CH416JD,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78191,,,53.3913008,-3.0202756,Nightclub
,Marbella Mambo,,,30 Conway Street,,CH416JD,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78462,,,53.3913008,-3.0202756,Nightclub
,Platinum Bar Wirral,,,24-28 Conway Street,,CH416JD,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107808,,,53.3913179,-3.0202753,Nightclub
,Thirty Six,,,36 Conway street Birkenhead ch41 6JD,,CH416JD,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110892,,,53.3911935,-3.0200673,Nightclub
,Future Yard,,,75 Argyle Street,,CH416AB,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103119,,https://dhzjvxyl79yzn.cloudfront.net/9/103119_1_future-yard_th.jpg,53.391519,-3.018451,live
,Mr Whites Ltd,,,60 Argyle Street,,CH416AF,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96200,,,53.3919345,-3.0186807,Nightclub
,The Cotton Club,,,62 Argyle Street,,CH416AF,,07714207455,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82934,,https://dhzjvxyl79yzn.cloudfront.net/4/82934_0_the-cotton-club_th.jpg,53.391988,-3.0187582,Nightclub
,Fight Club,,,22 Lorn Street,,CH416AR,,07854744975,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31908,,,53.3925283,-3.0186358,Sports
,At 75,,,75 Argyle Street,,CH416AB,,01516473426,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82488,,,53.3917077,-3.0178944,Nightclub
,2a Price Street The Life Cafe,,,Price St,,CH416JN,,01516491845,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11229,,,53.393267,-3.018591,live
,Rathbone Studio,,,28 Argyle Street,,CH416AE,,07903337995,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70695,,,53.3931088,-3.0180331,Gallery
